"","Country.Region","date","CumCaseNumber","IncCaseNumber","geo","Continent","country_region"
"34099","Niger",2020-05-16,889,4,"NE","AF","Niger"
"34100","Niger",2020-05-17,904,15,"NE","AF","Niger"
"34101","Niger",2020-05-18,909,5,"NE","AF","Niger"
"34102","Niger",2020-05-19,914,5,"NE","AF","Niger"
"34103","Niger",2020-05-20,920,6,"NE","AF","Niger"
"34104","Niger",2020-05-21,924,4,"NE","AF","Niger"
"34105","Niger",2020-05-22,937,13,"NE","AF","Niger"
"34106","Niger",2020-05-23,943,6,"NE","AF","Niger"
"34107","Niger",2020-05-24,945,2,"NE","AF","Niger"
"34108","Niger",2020-05-25,951,6,"NE","AF","Niger"
"34109","Niger",2020-05-26,952,1,"NE","AF","Niger"
"34110","Niger",2020-05-27,952,0,"NE","AF","Niger"
"34111","Niger",2020-05-28,955,3,"NE","AF","Niger"
"34112","Niger",2020-05-29,955,0,"NE","AF","Niger"
"34113","Niger",2020-05-30,956,1,"NE","AF","Niger"
"34114","Niger",2020-05-31,958,2,"NE","AF","Niger"
"34115","Niger",2020-06-01,958,0,"NE","AF","Niger"
"34116","Niger",2020-06-02,960,2,"NE","AF","Niger"
"34117","Niger",2020-06-03,961,1,"NE","AF","Niger"
"34118","Niger",2020-06-04,963,2,"NE","AF","Niger"
"34119","Niger",2020-06-05,966,3,"NE","AF","Niger"
"34120","Niger",2020-06-06,970,4,"NE","AF","Niger"
"34121","Niger",2020-06-07,973,3,"NE","AF","Niger"
"34122","Niger",2020-06-08,973,0,"NE","AF","Niger"
"34123","Niger",2020-06-09,974,1,"NE","AF","Niger"
"34124","Niger",2020-06-10,974,0,"NE","AF","Niger"
"34125","Niger",2020-06-11,974,0,"NE","AF","Niger"
"34126","Niger",2020-06-12,978,4,"NE","AF","Niger"
"34127","Niger",2020-06-13,980,2,"NE","AF","Niger"
"34128","Niger",2020-06-14,980,0,"NE","AF","Niger"
"34129","Niger",2020-06-15,980,0,"NE","AF","Niger"
"34130","Niger",2020-06-16,1016,36,"NE","AF","Niger"
"34131","Niger",2020-06-17,1020,4,"NE","AF","Niger"
"34132","Niger",2020-06-18,1020,0,"NE","AF","Niger"
"34133","Niger",2020-06-19,1020,0,"NE","AF","Niger"
"34134","Niger",2020-06-20,1035,15,"NE","AF","Niger"
"34135","Niger",2020-06-21,1036,1,"NE","AF","Niger"
"34136","Niger",2020-06-22,1046,10,"NE","AF","Niger"
"34137","Niger",2020-06-23,1051,5,"NE","AF","Niger"
"34138","Niger",2020-06-24,1051,0,"NE","AF","Niger"
"34139","Niger",2020-06-25,1056,5,"NE","AF","Niger"
"34140","Niger",2020-06-26,1059,3,"NE","AF","Niger"
"34141","Niger",2020-06-27,1062,3,"NE","AF","Niger"
"34142","Niger",2020-06-28,1074,12,"NE","AF","Niger"
"34143","Niger",2020-06-29,1075,1,"NE","AF","Niger"
"34144","Niger",2020-06-30,1075,0,"NE","AF","Niger"
"34145","Niger",2020-07-01,1075,0,"NE","AF","Niger"
"34146","Niger",2020-07-02,1081,6,"NE","AF","Niger"
"34147","Niger",2020-07-03,1082,1,"NE","AF","Niger"
"34148","Niger",2020-07-04,1082,0,"NE","AF","Niger"
"34149","Niger",2020-07-05,1088,6,"NE","AF","Niger"
"34150","Niger",2020-07-06,1093,5,"NE","AF","Niger"
"34151","Niger",2020-07-07,1094,1,"NE","AF","Niger"
"34152","Niger",2020-07-08,1097,3,"NE","AF","Niger"
"34153","Niger",2020-07-09,1097,0,"NE","AF","Niger"
"34154","Niger",2020-07-10,1099,2,"NE","AF","Niger"
"34155","Niger",2020-07-11,1099,0,"NE","AF","Niger"
"34156","Niger",2020-07-12,1099,0,"NE","AF","Niger"
"34157","Niger",2020-07-13,1099,0,"NE","AF","Niger"
"34158","Niger",2020-07-14,1099,0,"NE","AF","Niger"
"34159","Niger",2020-07-15,1100,1,"NE","AF","Niger"
"34160","Niger",2020-07-16,1102,2,"NE","AF","Niger"
"34161","Niger",2020-07-17,1102,0,"NE","AF","Niger"
"34162","Niger",2020-07-18,1104,2,"NE","AF","Niger"
"34163","Niger",2020-07-19,1104,0,"NE","AF","Niger"
"34164","Niger",2020-07-20,1105,1,"NE","AF","Niger"
"34165","Niger",2020-07-21,1113,8,"NE","AF","Niger"
"34166","Niger",2020-07-22,1122,9,"NE","AF","Niger"
